embedding_method,repeat_index,run_id,best_result,best_so_far_auc,num_experiments,output_dir,best_candidate
one_hot,1,one_hot_run01,87.83,77.7015,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/one_hot_run01,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""105""}"
one_hot,2,one_hot_run02,87.83,83.0965,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/one_hot_run02,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""105""}"
one_hot,3,one_hot_run03,87.83,79.806,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/one_hot_run03,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""105""}"
fingerprint_concat,1,fingerprint_concat_run01,92.19,87.713875,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/fingerprint_concat_run01,"{""base_SMILES"": ""O=C([O-])C(C)(C)C.[Cs+]"", ""ligand_SMILES"": ""C[C@]1(O2)O[C@](C[C@]2(C)P3C4=CC=CC=C4)(C)O[C@]3(C)C1"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.153"", ""temperature"": ""120""}"
fingerprint_concat,2,fingerprint_concat_run02,88.89,81.827625,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/fingerprint_concat_run02,"{""base_SMILES"": ""O=C([O-])C.[K+]"", ""ligand_SMILES"": ""CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.057"", ""temperature"": ""120""}"
fingerprint_concat,3,fingerprint_concat_run03,87.83,80.365625,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/fingerprint_concat_run03,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""105""}"
physicochemical_descriptors,1,physicochemical_descriptors_run01,87.83,75.66862499999999,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/physicochemical_descriptors_run01,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""105""}"
physicochemical_descriptors,2,physicochemical_descriptors_run02,88.41,84.02125,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/physicochemical_descriptors_run02,"{""base_SMILES"": ""O=C([O-])C.[K+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""120""}"
physicochemical_descriptors,3,physicochemical_descriptors_run03,88.41,85.19075000000001,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/physicochemical_descriptors_run03,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.057"", ""temperature"": ""120""}"
molclr_concat,1,molclr_concat_run01,87.83,73.966625,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/molclr_concat_run01,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""105""}"
molclr_concat,2,molclr_concat_run02,91.27,79.018625,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/molclr_concat_run02,"{""base_SMILES"": ""O=C([O-])C(C)(C)C.[K+]"", ""ligand_SMILES"": ""P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.057"", ""temperature"": ""120""}"
molclr_concat,3,molclr_concat_run03,87.83,73.52025,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/molclr_concat_run03,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""105""}"
chemberta_concat,1,chemberta_concat_run01,88.89,71.698125,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/chemberta_concat_run01,"{""base_SMILES"": ""O=C([O-])C.[K+]"", ""ligand_SMILES"": ""CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.057"", ""temperature"": ""120""}"
chemberta_concat,2,chemberta_concat_run02,87.83,77.8725,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/chemberta_concat_run02,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.1"", ""temperature"": ""105""}"
chemberta_concat,3,chemberta_concat_run03,89.71,83.873,80,/home/sjtu/LLMBO/ChemBO-Agent/outputs/formal_run_80/dar_problem_fixed_bo_embedding_compare/chemberta_concat_run03,"{""base_SMILES"": ""O=C([O-])C.[Cs+]"", ""ligand_SMILES"": ""P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3"", ""solvent_SMILES"": ""CC(N(C)C)=O"", ""concentration"": ""0.057"", ""temperature"": ""120""}"
